CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5440987;Ben-U-Ron, 1000 mg x 18 comp;231;0043;231;2,92;7857,72;164;211;152;173;150;132;151;208;200;200;227;172;551;2691
4485488;Dafalgan, 1000 mg x 16 comp rev;2;0043;2;2,63;26,30;0;0;3;0;0;1;0;0;0;0;2;2;2;10
5473020;Paracetamol Alter MG, 1000 mg x 18 comp;0;0043;0;1,84;16,56;3;1;1;1;0;1;0;1;0;0;0;1;0;9
5271036;Paracetamol Azevedos MG, 1000 mg x 18 comp;0;0043;0;2,48;2961,12;18;79;71;66;75;84;70;95;94;95;138;115;194;1194
5321070;Paracetamol Ciclum MG, 1000 mg x 20 comp;1;0043;1;2,41;106,04;0;0;1;2;0;4;8;7;6;3;6;3;4;44
5321054;Paracetamol Ciclum MG, 650 mg x 20 comp;2;0043;2;1,73;25,95;3;0;1;0;0;3;0;0;2;1;1;3;1;15
5592019;Paracetamol Farmoz MG, 1000 mg x 20 comp;5;0043;5;1,87;325,38;11;13;12;13;8;11;8;12;19;12;25;12;18;174
5320775;Paracetamol Generis MG, 1000 mg x 18 comp;0;0043;0;2,34;37,44;0;0;0;0;0;0;0;2;0;2;0;2;10;16
5118534;Paracetamol Pharmakern MG, 1000 mg x 18 comp;169;0043;169;2,53;893,09;61;45;33;30;25;17;22;22;22;17;7;19;33;353
5413745;Paracetamol Ratiopharm MG, 1000 mg x 20 comp;0;0043;0;2,13;14,91;0;3;3;1;0;0;0;0;0;0;0;0;0;7
5366547;Paracetamol Sandoz MG, 1000 mg x 20 comp;1;0043;1;2,45;14,70;0;0;0;0;0;0;0;0;0;0;0;0;6;6
