CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5830641;Acetilcisteína Alter MG, 600 mg Tubo 20 Unidade(s) Comp eferv;0;0043;0;6,68;6,68;0;0;0;0;0;0;0;0;0;0;1;0;0;1
5705215;Acetilcisteína Azevedos MG, 600 mg x 20 comp eferv;0;0043;0;6,85;89,05;1;0;0;0;0;0;0;0;0;0;5;4;3;13
5104377;Acetilcisteína Liboran MG, 600 mg Recipiente para comprimidos 20 Unidade(s) Comp eferv;10;0043;10;6,85;1445,35;11;17;15;13;8;12;16;14;17;37;24;14;13;211
4466397;Ambroxol Farmoz MG, 6 mg/mL-200 mL x 1 xar medida;0;0043;0;8,98;8,98;0;0;0;0;0;0;0;0;0;0;1;0;0;1
5702907;Benflux Tosse Seca, 2 mg/mL x 1 sol oral mL;1;0043;1;10,68;21,36;0;0;0;0;0;0;0;0;0;0;0;0;2;2
6226498;Bisolduo Pastilha 2em1 Limao Eucalipto X18;0;0043;0;11,15;167,25;3;3;2;1;0;0;0;0;2;4;0;0;0;15
6222752;Bisolnatural 2em1 Xar S/Acucar 120ml xar mL;6;0043;6;14,95;478,40;7;9;0;0;0;0;0;0;0;6;4;2;4;32
3605995;Bisoltussin Tosse Seca, 2 mg/mL-200 mL x 1 sol oral mL;0;0043;0;9,65;386,00;1;6;4;4;1;3;3;1;0;4;10;3;0;40
5421375;Bisoltussin, 10,5 mg x 20 pst;14;0043;14;10,95;547,50;7;0;8;1;2;1;0;4;6;5;4;1;11;50
5625827;Bisolvon Efervescente MG, 600 mg x 10 comp eferv;0;0043;0;8,35;50,10;0;0;0;0;0;0;0;0;0;0;6;0;0;6
5790183;Bisolvon Linctus Adulto, 1,6 mg/mL-200mL x 1 xar mL;0;0043;0;10,5;1239,00;8;8;9;7;3;3;6;11;17;12;13;10;11;118
8283309;Bisolvon Linctus Criança, 0,8 mg/mL-200mL x 1 xar mL;0;0043;0;9,35;252,45;2;2;4;2;1;1;1;3;7;4;0;0;0;27
9254813;Bisolvon, 8 mg x 20 comp;0;0043;0;8,55;128,25;2;0;1;1;1;0;0;3;0;0;4;1;2;15
5490800;Bromexina Bluepharma MG, 0.8 mg/mL 200mL x 1 xar mL;0;0043;0;6,22;6,22;0;0;0;0;0;0;0;0;0;0;1;0;0;1
9745828;Broncoliber, 120 mg x 20 cáps lib prol;0;0043;0;10,6;21,20;0;0;0;0;0;1;0;0;0;0;1;0;0;2
9545418;Broncoliber, 30 mg x 20 comp;0;0043;0;5,09;5,09;0;0;0;0;0;0;0;0;0;0;0;0;1;1
9545517;Broncoliber, 6 mg/mL-200 mL x 1 xar medida;0;0043;0;9,8;9,80;0;0;0;0;0;0;0;0;0;1;0;0;0;1
6347526;Dampo Tosse Noite Tranquila Xarope 150Ml;0;0043;0;11,5;23,00;1;0;1;0;0;0;0;0;0;0;0;0;0;2
