CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5603741;Antigrippine trieffect, 500/5 mg x 20 comp rev;0;0043;0;9,35;663,85;0;0;0;0;0;0;0;0;2;29;22;12;6;71
2487593;Antigrippine x 20 comp;0;0043;0;6,9;634,80;19;9;11;10;3;7;9;9;8;7;0;0;0;92
6293159;Bisolviral Spray Nasal 20ml;0;0043;0;10,95;164,25;0;1;3;1;0;0;0;2;4;1;0;2;1;15
9869800;Cebiolon, 100 mg/mL-20 mL x 1 sol oral gta;0;0043;0;5,55;38,85;0;0;1;0;0;0;0;0;2;0;0;1;3;7
5054168;Cêgripe, 1/500 mg x 20 comp;106;0043;106;9,6;6912,00;60;37;44;21;5;13;31;56;89;147;122;49;46;720
5472949;Griponal, 4/500 mg x 20 comp eferv;67;0043;67;9,9;1544,40;14;11;9;7;5;1;11;13;11;42;23;2;7;156
8665604;Ilvico, 250/3/10/36 mg x 20 comp rev;85;0043;85;8,6;2107,00;27;22;12;8;8;4;15;25;24;34;40;13;13;245
5662606;Kaloba, 20 mg x 21 comp rev;0;0043;0;10,99;76,93;0;0;0;0;0;0;0;0;0;5;2;0;0;7
5662549;Kaloba, 8,0 g/10 g-20mL x 1 sol oral gta;0;0043;0;7,74;7,74;0;0;0;0;0;0;0;0;0;1;0;0;0;1
5189857;Panadol Extra, 500/65 mg x 20 comp rev;0;0043;0;4,98;154,38;2;2;4;3;4;1;4;1;3;2;2;1;2;31
2493591;Paramolan C, 500/250 mg x 20 pó sol oral saq;0;0043;0;6,75;162,00;3;0;0;0;2;0;5;3;3;3;4;1;0;24
8870030;Vitamina C Alter Laranja, 1000 mg x 20 comp eferv;0;0043;0;6,21;93,15;1;0;0;0;0;0;2;4;2;1;3;1;1;15
8870048;Vitamina C Alter Morango, 1000 mg x 20 comp eferv;0;0043;0;6,21;18,63;0;1;2;0;0;0;0;0;0;0;0;0;0;3
9879213;Vitaminac Retard, 500 mg x 20 cáps lib prol;0;0043;0;7,18;7,18;0;0;0;0;0;0;0;0;0;0;1;0;0;1
