CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
4320396;Collu-Hextril, 2 mg/mL-40 mL x 1 sol pulv bucal;0;0043;0;7,05;84,60;2;1;0;1;2;0;0;1;0;2;1;0;2;12
8834101;Euphon, 10 mg x 70 pst;0;0043;0;9,75;273,00;2;2;1;0;1;0;1;4;3;5;2;2;5;28
9756106;Flogoral , 3 mg Blister 20 Unidade(s) Past;0;0043;0;4,35;8,70;0;0;0;0;0;0;0;0;2;0;0;0;0;2
9969600;Hydrotricine, 1 mg x 24 pst;1;0043;1;9,22;92,20;0;1;1;0;1;0;1;2;0;0;0;2;2;10
5745369;Macifen , 8.75 mg Blister 16 Unidade(s) Past;0;0043;0;6,9;34,50;0;1;0;0;2;2;0;0;0;0;0;0;0;5
5745377;Macifen , 8.75 mg Blister 24 Unidade(s) Past;0;0043;0;9,95;89,55;1;0;0;0;1;3;4;0;0;0;0;0;0;9
5470851;Mebocaína Forte, 4/1/0,2 mg x 16 pst;1;0043;1;8,45;33,80;0;2;0;0;0;0;0;0;0;0;0;2;0;4
5211636;Mebocaína Forte, 4/1/0,2 mg x 24 pst;26;0043;26;9,25;684,50;2;5;0;4;7;5;3;7;11;14;6;3;7;74
6212787;Pharysol Infecc E Dor De Garg 30ML;0;0043;0;12,62;12,62;0;0;0;0;0;0;0;0;0;0;1;0;0;1
5478045;Strepfen Laranja sem açúcar, 8,75 mg x 16 pst;12;0043;12;8,9;854,40;4;2;4;4;9;1;9;6;19;13;10;2;13;96
5478052;Strepfen Laranja sem açúcar, 8,75 mg x 24 pst;28;0043;28;9,9;712,80;1;5;6;1;4;0;4;11;6;11;8;9;6;72
3700481;Strepfen Mel e limão, 8,75 mg x 16 pst;0;0043;0;8,9;1023,50;1;1;3;5;1;3;4;24;20;17;11;10;15;115
5154828;Strepfen Mel e limão, 8,75 mg x 24 pst;0;0043;0;10,25;1732,25;4;4;4;7;8;3;7;18;41;29;10;12;22;169
5795729;Strepfen Spray Mel e Limão , 16.2 mg/ml Frasco 15 ml Sol pulv bucal;10;0043;10;11,7;152,10;0;0;0;0;4;1;1;0;7;0;0;0;0;13
5631031;Strepfen Spray, 16,2 mg/mL-15mL x 1 sol pulv bucal;4;0043;4;11,7;93,60;3;3;1;1;0;0;0;0;0;0;0;0;0;8
5336508;Strepsils Gengibre , 1.2 mg + 0.6 mg Blister 16 Unidade(s) Past;0;0043;0;7,9;39,50;0;0;0;0;0;0;2;2;1;0;0;0;0;5
5164231;Strepsils Laranja com Vitamina C, 1,2/0,6 mg x 24 pst;11;0043;11;8,9;311,50;1;0;1;2;3;0;3;4;5;8;5;1;2;35
5182654;Strepsils Limão sem açúcar, 1,2/0,6 mg x 16 pst;0;0043;0;7,9;205,40;0;0;2;1;1;6;4;3;0;5;0;1;3;26
5154778;Strepsils Limão sem açúcar, 1,2/0,6 mg x 24 pst;11;0043;11;8,9;89,00;0;1;0;0;0;0;0;2;2;0;2;3;0;10
5154737;Strepsils Mel e limão, 1,2/0,6 mg x 24 pst;0;0043;0;8,9;792,10;1;0;1;2;5;1;2;15;18;15;13;12;4;89
5154745;Strepsils Mel e limão, 1,2/0,6 mg x 36 pst;15;0043;15;9,99;359,64;4;0;2;1;0;2;0;1;10;6;2;1;7;36
5182647;Strepsils Morango sem açúcar, 1,2/0,6 mg x 16 pst;10;0043;10;7,9;252,80;8;1;3;5;0;0;0;3;8;0;0;1;3;32
5154679;Strepsils Morango sem açúcar, 1,2/0,6 mg x 24 pst;4;0043;4;8,9;44,50;0;1;0;0;2;0;0;2;0;0;0;0;0;5
5680038;Strepsils Tosse, 1,2/0,6 mg x 24 pst;5;0043;5;8,9;160,20;0;1;0;1;3;1;1;2;4;0;0;0;5;18
5680046;Strepsils Tosse, 1,2/0,6 mg x 36 pst;0;0043;0;9,7;48,50;1;0;1;2;1;0;0;0;0;0;0;0;0;5
8232827;Tantum Verde , 1.5 mg/ml Frasco 240 ml Sol lavag boca;30;0043;30;10,95;569,40;5;1;4;1;5;4;3;5;9;5;4;5;1;52
5481361;Tantum Verde , 1.5 mg/ml Frasco 500 ml Sol lavag boca;11;0043;11;16,95;457,65;3;2;1;3;4;1;3;1;3;1;1;2;2;27
5242086;Tantum Verde , 3 mg/ml Frasco nebulizador 15 ml Sol pulv bucal;1;0043;1;12,2;122,00;0;0;1;0;2;0;0;1;3;1;2;0;0;10
3576287;Tantum Verde Menta Sem Açucar, 3 mg x 20 pst;1;0043;1;9,95;119,40;1;0;0;0;1;2;0;1;3;1;1;1;1;12
