CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
5022561;Acetilcisteína Exxelir MG, 600 mg Recipiente para comprimidos 20 Unidade(s) Comp eferv;0;0043;0;5,49;76,86;0;0;0;0;3;0;1;4;0;0;6;0;0;14
5104377;Acetilcisteína Liboran MG, 600 mg Recipiente para comprimidos 20 Unidade(s) Comp eferv;9;0043;9;6,85;130,15;5;2;3;1;1;1;1;1;2;0;1;1;0;19
5245972;Acetilcisteína Pharmakern MG, 600 mg x 20 comp eferv;0;0043;0;6,5;2671,50;31;31;16;16;17;18;15;19;28;34;87;56;43;411
5519186;Acetilcisteína Tussilene MG, 600 mg x 20 comp eferv;0;0043;0;5,5;22,00;0;0;0;0;0;0;0;0;0;0;0;4;0;4
5404082;Ambroxol Generis MG, 3 mg/ml Frasco 200 ml Xar;0;0043;0;7,13;106,95;0;0;1;2;0;0;1;1;0;1;7;1;1;15
5200266;Benflux Forte, 6 mg/mL-200 mL x 1 xar medida;0;0043;0;10,84;43,36;1;0;0;0;0;1;0;0;0;0;0;1;1;4
9557603;Benflux, 3 mg/mL-200 mL x 1 xar mL;0;0043;0;7,33;7,33;0;0;0;0;0;0;0;1;0;0;0;0;0;1
9533513;Benflux, 30 mg x 20 comp;0;0043;0;7,16;7,16;0;1;0;0;0;0;0;0;0;0;0;0;0;1
3605995;Bisoltussin Tosse Seca, 2 mg/mL-200 mL x 1 sol oral mL;0;0043;0;9,65;858,85;2;2;2;1;1;3;2;7;7;13;26;16;7;89
5421375;Bisoltussin, 10,5 mg x 20 pst;14;0043;14;10,95;514,65;1;2;0;0;0;0;0;0;4;4;19;12;5;47
5790183;Bisolvon Linctus Adulto, 1,6 mg/mL-200mL x 1 xar mL;0;0043;0;10,5;4074,00;31;16;8;5;5;13;18;24;30;55;102;50;31;388
8283309;Bisolvon Linctus Criança, 0,8 mg/mL-200mL x 1 xar mL;0;0043;0;9,35;719,95;11;5;5;4;1;3;4;5;9;11;10;4;5;77
8254920;Bisolvon, 2 mg/mL-40 mL x 1 sol oral gta;0;0043;0;6,5;19,50;0;1;0;0;1;0;0;0;0;1;0;0;0;3
9254813;Bisolvon, 8 mg x 20 comp;0;0043;0;8,55;478,80;4;2;1;2;1;3;1;3;5;5;19;6;4;56
5490677;Bisolvon, 8 mg/5 ml x 20 xar saq;0;0043;0;8,04;40,20;0;0;0;0;0;0;0;0;1;1;3;0;0;5
9745828;Broncoliber, 120 mg x 20 cáps lib prol;0;0043;0;10,6;137,80;1;1;0;0;0;0;1;1;2;2;2;3;0;13
9545509;Broncoliber, 3 mg/mL-200 mL x 1 xar mL;0;0043;0;6,2;37,20;1;0;0;0;1;0;0;0;1;2;0;0;1;6
5349352;Broncoliber, 50 mg/mL-13 mL x 1 sol pulv oral;0;0043;0;9,9;9,90;0;0;0;0;0;0;0;1;0;0;0;0;0;1
9545517;Broncoliber, 6 mg/mL-200 mL x 1 xar medida;0;0043;0;9,8;78,40;0;1;2;0;0;0;0;3;1;1;0;0;0;8
3482080;Drill Tosse Seca, 1 mg/mL-200 mL x 1 xar colher medida;0;0043;0;7,72;15,44;0;0;0;0;0;0;0;1;0;0;0;1;0;2
3311180;Fluimucil 2%, 20 mg/mL-200 mL x 1 sol oral mL;0;0043;0;8,65;138,40;1;1;1;2;1;3;1;1;0;0;2;2;1;16
2195980;Fluimucil, 200 mg x 20 gran sol oral saq;0;0043;0;6,9;124,20;0;1;0;2;1;2;0;2;1;1;2;3;3;18
5269287;Fluimucil 4%, 40 mg/mL-200 mL x 1 sol oral mL;0;0043;0;10,5;472,50;4;4;1;0;1;0;0;7;2;4;14;4;4;45
